Public ID,Organization,Availability,System Name,CPU,Processors per node,Total Processors,GPU,GPU Raw,GPU Form Factor,GPU Memory,Accelerator Model Name,Total Accelerators,Division/Power,# of Nodes,Accelerators per node,Benchmark,Benchmark Model,Scenario,Metric,Value
1.0-70,Dell EMC,Available Cloud,Dell EMC PowerEdge R7525 (3x A100-PCIe),AMD EPYC 7502,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,3,Closed - Power,1,3,Inference,ResNet,Offline,samples/s,93371.4
1.0-70,Dell EMC,Available Cloud,Dell EMC PowerEdge R7525 (3x A100-PCIe),AMD EPYC 7502,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,3,Closed - Power,1,3,Inference,ResNet,Offline,System Watts,1101.28
1.0-70,Dell EMC,Available Cloud,Dell EMC PowerEdge R7525 (3x A100-PCIe),AMD EPYC 7502,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,3,Closed - Power,1,3,Inference,ResNet,Server,queries/s,77976.7
1.0-70,Dell EMC,Available Cloud,Dell EMC PowerEdge R7525 (3x A100-PCIe),AMD EPYC 7502,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,3,Closed - Power,1,3,Inference,ResNet,Server,System Watts,1097.38
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.0,Offline,samples/s,135189.0
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.0,Offline,System Watts,830.13
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.0,Server,queries/s,126531.0
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.0,Server,System Watts,835.91
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.9,Offline,samples/s,135149.0
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.9,Offline,System Watts,829.09
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.9,Server,queries/s,126531.0
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.9,Server,System Watts,835.52
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,ResNet,Offline,samples/s,23309.3
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,ResNet,Offline,System Watts,794.46
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,ResNet,Server,queries/s,21691.3
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,ResNet,Server,System Watts,792.69
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,RNN-T,Offline,samples/s,5704.6
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,RNN-T,Offline,System Watts,856.8
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,RNN-T,Server,queries/s,4202.02
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,RNN-T,Server,System Watts,862.46
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,SSD-Large,Offline,samples/s,557.43
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,SSD-Large,Offline,System Watts,792.85
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,SSD-Large,Server,queries/s,500.96
1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,SSD-Large,Server,System Watts,790.83
1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,3D U-Net-99.0,Offline,samples/s,372.13
1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,3D U-Net-99.0,Offline,System Watts,2260.88
1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,3D U-Net-99.9,Offline,samples/s,372.13
1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,3D U-Net-99.9,Offline,System Watts,2260.88
1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.0,Offline,samples/s,17696.9
1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.0,Offline,System Watts,2289.98
1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.0,Server,queries/s,17498.5
1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.0,Server,System Watts,2308.86
1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.9,Offline,samples/s,8645.52
1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.9,Offline,System Watts,2300.08
1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.9,Server,queries/s,7504.02
1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.9,Server,System Watts,2263.46
1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,ResNet,Offline,samples/s,213599.0
